2017116.192055__OXA_382 Made 2017116.192055__OXA_382 into gene. strand=+, frame=0
2017116.201945__PDC_3 Made 2017116.201945__PDC_3 into gene. strand=+, frame=0
2017116.20195__catII Made 2017116.20195__catII into gene. strand=+, frame=0
2017116.20199__aac_6PRIME__Ib_Hangzhou Made 2017116.20199__aac_6PRIME__Ib_Hangzhou into gene. strand=+, frame=0
2017116.20201__OXA_366 Made 2017116.20201__OXA_366 into gene. strand=+, frame=0
2017116.202024__ACT_37 Made 2017116.202024__ACT_37 into gene. strand=+, frame=0
2017116.202034__OXA_398 Made 2017116.202034__OXA_398 into gene. strand=+, frame=0
2017116.202044__SHV_183 Made 2017116.202044__SHV_183 into gene. strand=+, frame=0
2017116.202049__ACT_27 Made 2017116.202049__ACT_27 into gene. strand=+, frame=0
2017116.202054__CTX_M_75 Made 2017116.202054__CTX_M_75 into gene. strand=+, frame=0
2017116.20205__CTX_M_109 Made 2017116.20205__CTX_M_109 into gene. strand=+, frame=0
2017116.202114__OXA_384 Made 2017116.202114__OXA_384 into gene. strand=+, frame=0
2017116.202124__QnrB54 Made 2017116.202124__QnrB54 into gene. strand=+, frame=0
2017116.202133__IMP_48 Made 2017116.202133__IMP_48 into gene. strand=+, frame=0
2017116.202147__OXA_368 Made 2017116.202147__OXA_368 into gene. strand=+, frame=0
2017116.202157__ACT_29 Made 2017116.202157__ACT_29 into gene. strand=+, frame=0
2017116.20218__MIR_16 Made 2017116.20218__MIR_16 into gene. strand=+, frame=0
2017116.2021__CTX_M_148 Made 2017116.2021__CTX_M_148 into gene. strand=+, frame=0
2017116.202222__dfrF Made 2017116.202222__dfrF into gene. strand=+, frame=0
2017116.202227__gyrA__Pseudomonas_aeruginosa_ Made 2017116.202227__gyrA__Pseudomonas_aeruginosa_ into gene. strand=+, frame=0
2017116.20222__SHV_124 Made 2017116.20222__SHV_124 into gene. strand=+, frame=0
2017116.202231__CMY_82 Made 2017116.202231__CMY_82 into gene. strand=+, frame=0
2017116.202236__SRT_1 Made 2017116.202236__SRT_1 into gene. strand=+, frame=0
2017116.202241__TEM_22 Made 2017116.202241__TEM_22 into gene. strand=+, frame=0
2017116.202247__TLE Made 2017116.202247__TLE into gene. strand=+, frame=0
2017116.202252__CMY_113 Made 2017116.202252__CMY_113 into gene. strand=+, frame=0
2017116.20228__SHV_1b Made 2017116.20228__SHV_1b into gene. strand=+, frame=0
2017116.202316__IMP_13 Made 2017116.202316__IMP_13 into gene. strand=+, frame=0
2017116.202321__MOX_9 Made 2017116.202321__MOX_9 into gene. strand=+, frame=0
2017116.202326__catIII Made 2017116.202326__catIII into gene. strand=+, frame=0
2017116.20232__CMY_39 Made 2017116.20232__CMY_39 into gene. strand=+, frame=0
2017116.202331__aph_3PRIME__IIc Made 2017116.202331__aph_3PRIME__IIc into gene. strand=+, frame=0
2017116.202339__OXA_424 Made 2017116.202339__OXA_424 into gene. strand=+, frame=0
2017116.202345__CTX_M_158 Made 2017116.202345__CTX_M_158 into gene. strand=+, frame=0
2017116.202355__aac_3__IV Made 2017116.202355__aac_3__IV into gene. strand=+, frame=0
2017116.20238__TEM_192 Made 2017116.20238__TEM_192 into gene. strand=+, frame=0
2017116.202423__AQU_1 Made 2017116.202423__AQU_1 into gene. strand=+, frame=0
2017116.202441__CTX_M_159 Made 2017116.202441__CTX_M_159 into gene. strand=+, frame=0
2017116.202447__MSI_1 Made 2017116.202447__MSI_1 into gene. strand=+, frame=0
2017116.2024__TEM_216 Made 2017116.2024__TEM_216 into gene. strand=+, frame=0
2017116.202519__dfrB1 Made 2017116.202519__dfrB1 into gene. strand=+, frame=0
2017116.20251__cat_TC Made 2017116.20251__cat_TC into gene. strand=+, frame=0
2017116.202528__LEN_11 Made 2017116.202528__LEN_11 into gene. strand=+, frame=0
2017116.202534__CARB_18 Made 2017116.202534__CARB_18 into gene. strand=+, frame=0
2017116.202544__SHV_152 Made 2017116.202544__SHV_152 into gene. strand=+, frame=0
2017116.202555__SHV_149 Made 2017116.202555__SHV_149 into gene. strand=+, frame=0
2017116.20261__OXA_199 Made 2017116.20261__OXA_199 into gene. strand=+, frame=0
2017116.202625__QnrB43 Made 2017116.202625__QnrB43 into gene. strand=+, frame=0
2017116.20262__OXA_423 Made 2017116.20262__OXA_423 into gene. strand=+, frame=0
2017116.202634__FosX Made 2017116.202634__FosX into gene. strand=+, frame=0
2017116.20263__ramR__Salmonella_enterica_ Made 2017116.20263__ramR__Salmonella_enterica_ into gene. strand=+, frame=0
2017116.202648__CMY_86 Made 2017116.202648__CMY_86 into gene. strand=+, frame=0
2017116.202653__aac_6PRIME__Ix Made 2017116.202653__aac_6PRIME__Ix into gene. strand=+, frame=0
2017116.20265__CMY_93 Made 2017116.20265__CMY_93 into gene. strand=+, frame=0
2017116.202717__QnrB41 Made 2017116.202717__QnrB41 into gene. strand=+, frame=0
2017116.202722__cat Made 2017116.202722__cat into gene. strand=+, frame=0
2017116.202726__FosA Made 2017116.202726__FosA into gene. strand=+, frame=0
2017116.202739__cat Made 2017116.202739__cat into gene. strand=+, frame=0
2017116.20273__CAU_1 Made 2017116.20273__CAU_1 into gene. strand=+, frame=0
2017116.202748__acrR__klebsiella_pneumoniae_ Made 2017116.202748__acrR__klebsiella_pneumoniae_ into gene. strand=+, frame=0
2017116.202753__cat Made 2017116.202753__cat into gene. strand=+, frame=0
2017116.20278__aadA6_aadA10 Made 2017116.20278__aadA6_aadA10 into gene. strand=+, frame=0
2017116.202813__TEM_169 Made 2017116.202813__TEM_169 into gene. strand=+, frame=0
2017116.202819__DHA_16 Made 2017116.202819__DHA_16 into gene. strand=+, frame=0
2017116.20282__LRA_5 Made 2017116.20282__LRA_5 into gene. strand=+, frame=0
2017116.202837__SHV_148 Made 2017116.202837__SHV_148 into gene. strand=+, frame=0
2017116.202843__TEM_129 Made 2017116.202843__TEM_129 into gene. strand=+, frame=0
2017116.202912__aac_3__Ia Made 2017116.202912__aac_3__Ia into gene. strand=+, frame=0
2017116.202921__DHA_10 Made 2017116.202921__DHA_10 into gene. strand=+, frame=0
2017116.202936__LRA_9 Made 2017116.202936__LRA_9 into gene. strand=+, frame=0
2017116.202946__cat Made 2017116.202946__cat into gene. strand=+, frame=0
2017116.20294__SHV_189 Made 2017116.20294__SHV_189 into gene. strand=+, frame=0
2017116.202956__LRA_2 Made 2017116.202956__LRA_2 into gene. strand=+, frame=0
2017116.203012__aadA Made 2017116.203012__aadA into gene. strand=+, frame=0
2017116.203017__blaZ Made 2017116.203017__blaZ into gene. strand=+, frame=0
2017116.20301__TLA_3 Made 2017116.20301__TLA_3 into gene. strand=+, frame=0
2017116.203122__Sfh_1 Made 2017116.203122__Sfh_1 into gene. strand=+, frame=0
2017116.203133__CTX_M_115 Made 2017116.203133__CTX_M_115 into gene. strand=+, frame=0
2017116.203139__sat_3 Made 2017116.203139__sat_3 into gene. strand=+, frame=0
2017116.203157__QnrS8 Made 2017116.203157__QnrS8 into gene. strand=+, frame=0
2017116.20318__LRA_3 Made 2017116.20318__LRA_3 into gene. strand=+, frame=0
2017116.203226__SHV_153 Made 2017116.203226__SHV_153 into gene. strand=+, frame=0
2017116.203232__SHV_112 Made 2017116.203232__SHV_112 into gene. strand=+, frame=0
2017116.203237__CTX_M_151 Made 2017116.203237__CTX_M_151 into gene. strand=+, frame=0
2017116.203252__OXA_420 Made 2017116.203252__OXA_420 into gene. strand=+, frame=0
2017116.203257__CTX_M_74 Made 2017116.203257__CTX_M_74 into gene. strand=+, frame=0
2017116.20325__DHA_20 Made 2017116.20325__DHA_20 into gene. strand=+, frame=0
2017116.20327__CARB_22 Made 2017116.20327__CARB_22 into gene. strand=+, frame=0
2017116.2032__tet32 Made 2017116.2032__tet32 into gene. strand=+, frame=0
2017116.20338__KPC_9 Made 2017116.20338__KPC_9 into gene. strand=+, frame=0
2017116.20344__ACT_4 Made 2017116.20344__ACT_4 into gene. strand=+, frame=0
2017116.20353__dfrA1 Made 2017116.20353__dfrA1 into gene. strand=+, frame=0
2017116.20358__pmrB__Escherichia_coli_ Made 2017116.20358__pmrB__Escherichia_coli_ into gene. strand=+, frame=0
2017116.20411__CMY_117 Made 2017116.20411__CMY_117 into gene. strand=+, frame=0
2017116.20416__CMY_29 Made 2017116.20416__CMY_29 into gene. strand=+, frame=0
2017116.20421__SHV_151 Made 2017116.20421__SHV_151 into gene. strand=+, frame=0
2017116.20426__FosB Made 2017116.20426__FosB into gene. strand=+, frame=0
2017116.2042__QnrB26 Made 2017116.2042__QnrB26 into gene. strand=+, frame=0
2017116.20431__FosB Made 2017116.20431__FosB into gene. strand=+, frame=0
2017116.2045__parE__Pseudomonas_aeruginosa_ Made 2017116.2045__parE__Pseudomonas_aeruginosa_ into gene. strand=+, frame=0
2017116.20527__SHV_21 Made 2017116.20527__SHV_21 into gene. strand=+, frame=0
2017116.20533__MUS_2 Made 2017116.20533__MUS_2 into gene. strand=+, frame=0
2017116.20538__SHV_19 Made 2017116.20538__SHV_19 into gene. strand=+, frame=0
2017116.20544__OCH_1 Made 2017116.20544__OCH_1 into gene. strand=+, frame=0
2017116.20549__SHV_163 Made 2017116.20549__SHV_163 into gene. strand=+, frame=0
2017116.20617__LEN_12 Made 2017116.20617__LEN_12 into gene. strand=+, frame=0
2017116.20622__aac_6PRIME__Iih Made 2017116.20622__aac_6PRIME__Iih into gene. strand=+, frame=0
2017116.20631__qepA Made 2017116.20631__qepA into gene. strand=+, frame=0
2017116.2063__EF_Tu__Escherichia_coli_ Made 2017116.2063__EF_Tu__Escherichia_coli_ into gene. strand=+, frame=0
2017116.20645__CMY_119 Made 2017116.20645__CMY_119 into gene. strand=+, frame=0
2017116.20659__Mrx Made 2017116.20659__Mrx into gene. strand=+, frame=0
2017116.20714__OXA_338 Made 2017116.20714__OXA_338 into gene. strand=+, frame=0
2017116.20719__SHV_155 Made 2017116.20719__SHV_155 into gene. strand=+, frame=0
2017116.20729__aadA8 Made 2017116.20729__aadA8 into gene. strand=+, frame=0
2017116.20734__tet38 Made 2017116.20734__tet38 into gene. strand=+, frame=0
2017116.20738__OXA_380 Made 2017116.20738__OXA_380 into gene. strand=+, frame=0
2017116.20748__CARB_14 Made 2017116.20748__CARB_14 into gene. strand=+, frame=0
2017116.2074__KPC_22 Made 2017116.2074__KPC_22 into gene. strand=+, frame=0
2017116.2082__LEN_9 Made 2017116.2082__LEN_9 into gene. strand=+, frame=0
2017116.20835__floR Made 2017116.20835__floR into gene. strand=+, frame=0
2017116.20845__THIN_B Made 2017116.20845__THIN_B into gene. strand=+, frame=0
2017116.20854__aadA9 Made 2017116.20854__aadA9 into gene. strand=+, frame=0
2017116.20859__ant_2PRIMEPRIME__Ia Made 2017116.20859__ant_2PRIMEPRIME__Ia into gene. strand=+, frame=0
2017116.2087__QnrB44 Made 2017116.2087__QnrB44 into gene. strand=+, frame=0
2017116.20923__PDC_5 Made 2017116.20923__PDC_5 into gene. strand=+, frame=0
2017116.20928__IMI_4 Made 2017116.20928__IMI_4 into gene. strand=+, frame=0
2017116.2093__LRA_19 Made 2017116.2093__LRA_19 into gene. strand=+, frame=0
2017116.20943__OXA_1 Made 2017116.20943__OXA_1 into gene. strand=+, frame=0
2017116.20952__aac_6PRIME__Ib Made 2017116.20952__aac_6PRIME__Ib into gene. strand=+, frame=0
2017116.20957__TEM_219 Made 2017116.20957__TEM_219 into gene. strand=+, frame=0
2017116.2098__SHV_159 Made 2017116.2098__SHV_159 into gene. strand=+, frame=0
2017119.173414__QnrB1b Made 2017119.173414__QnrB1b into gene. strand=+, frame=0
2017119.173426__dfrA14 Made 2017119.173426__dfrA14 into gene. strand=+, frame=0
2017119.173431__phoP__Escherichia_coli_ Made 2017119.173431__phoP__Escherichia_coli_ into gene. strand=+, frame=0
2017119.173615__cat Made 2017119.173615__cat into gene. strand=+, frame=0
2017119.173619__FosX Made 2017119.173619__FosX into gene. strand=+, frame=0
2017119.17361__cmlB Made 2017119.17361__cmlB into gene. strand=+, frame=0
2017119.17459__ACT_9 Made 2017119.17459__ACT_9 into gene. strand=+, frame=0
2017119.174825__catD Made 2017119.174825__catD into gene. strand=+, frame=0
2017119.17482__pmrA__Escherichia_coli_ Made 2017119.17482__pmrA__Escherichia_coli_ into gene. strand=+, frame=0
2017119.174835__catB8 Made 2017119.174835__catB8 into gene. strand=+, frame=0
2017119.17483__CatA2 Made 2017119.17483__CatA2 into gene. strand=+, frame=0
2017119.174913__phoQ__Klebsiella_pneumoniae_ Made 2017119.174913__phoQ__Klebsiella_pneumoniae_ into gene. strand=+, frame=0
2017119.174918__PhoQ__Enterobacter_cloacae_complex_ Made 2017119.174918__PhoQ__Enterobacter_cloacae_complex_ into gene. strand=+, frame=0
2017119.174923__aac_6PRIME__29a Made 2017119.174923__aac_6PRIME__29a into gene. strand=+, frame=0
2017119.174928__aac_6PRIME__29b Made 2017119.174928__aac_6PRIME__29b into gene. strand=+, frame=0
2017119.174936__blaZ Made 2017119.174936__blaZ into gene. strand=+, frame=0
2017119.174955__OXY_2_5 Made 2017119.174955__OXY_2_5 into gene. strand=+, frame=0
2017119.17495__aadA Made 2017119.17495__aadA into gene. strand=+, frame=0
2017119.17499__phoP__Enterobacter_cloacae_complex_ Made 2017119.17499__phoP__Enterobacter_cloacae_complex_ into gene. strand=+, frame=0
2017119.175015__pmrA___Enterobacter_cloacae_complex_ Made 2017119.175015__pmrA___Enterobacter_cloacae_complex_ into gene. strand=+, frame=0
2017119.17502__pmrA__Klebsiella_pneumoniae_ Made 2017119.17502__pmrA__Klebsiella_pneumoniae_ into gene. strand=+, frame=0
2017119.175119__CMY_85 Made 2017119.175119__CMY_85 into gene. strand=+, frame=0
2017119.175131__CARB_16 Made 2017119.175131__CARB_16 into gene. strand=+, frame=0
2017119.175148__mrgB__Klebsiella_pneumoniae_ Made 2017119.175148__mrgB__Klebsiella_pneumoniae_ into gene. strand=+, frame=0
2017119.175152__pmrB__Klebsiella_pneumoniae_ Made 2017119.175152__pmrB__Klebsiella_pneumoniae_ into gene. strand=+, frame=0
2017119.175156__pmrB__Enterobacter_cloacae_ Made 2017119.175156__pmrB__Enterobacter_cloacae_ into gene. strand=+, frame=0
2017119.175225__nimE Made 2017119.175225__nimE into gene. strand=+, frame=0
2017119.17522__nimI Made 2017119.17522__nimI into gene. strand=+, frame=0
2017119.175232__cat Made 2017119.175232__cat into gene. strand=+, frame=0
2017119.175314__aac_3__VIa Made 2017119.175314__aac_3__VIa into gene. strand=+, frame=0
2017119.175318__aph_2PRIMEPRIME__IIa Made 2017119.175318__aph_2PRIMEPRIME__IIa into gene. strand=+, frame=0
2017119.175358__TetA Made 2017119.175358__TetA into gene. strand=+, frame=0
2017119.175415__strA Made 2017119.175415__strA into gene. strand=+, frame=0
2017119.175428__PER_1 Made 2017119.175428__PER_1 into gene. strand=+, frame=0
2017119.175439__cphA2 Made 2017119.175439__cphA2 into gene. strand=+, frame=0
2017119.175456__cphA1 Made 2017119.175456__cphA1 into gene. strand=+, frame=0
2017119.17549__cat Made 2017119.17549__cat into gene. strand=+, frame=0
2017119.175514__DfrA19 Made 2017119.175514__DfrA19 into gene. strand=+, frame=0
2017119.175522__OXA_14 Made 2017119.175522__OXA_14 into gene. strand=+, frame=0
2017119.17553__tet43 Made 2017119.17553__tet43 into gene. strand=+, frame=0
2017119.175555__SulI Made 2017119.175555__SulI into gene. strand=+, frame=0
2017119.17555__rifampin_phosphotransferase Made 2017119.17555__rifampin_phosphotransferase into gene. strand=+, frame=0
2017119.17558__cmlA Made 2017119.17558__cmlA into gene. strand=+, frame=0
2017119.175612__cml Made 2017119.175612__cml into gene. strand=+, frame=0
2017119.17563__AmpC__Escherichia_coli_ Made 2017119.17563__AmpC__Escherichia_coli_ into gene. strand=+, frame=0
2017119.17567__cmx Made 2017119.17567__cmx into gene. strand=+, frame=0
2017119.17584__phoQ__Escherichia_coli_ Made 2017119.17584__phoQ__Escherichia_coli_ into gene. strand=+, frame=0
2017119.175858__catII Made 2017119.175858__catII into gene. strand=+, frame=0
2017119.17585__cat Made 2017119.17585__cat into gene. strand=+, frame=0
2017119.175916__TetR_frame_shift Made 2017119.175916__TetR_frame_shift into gene. strand=+, frame=0
2017119.175921__TetR Made 2017119.175921__TetR into gene. strand=+, frame=0
2017119.175925__tet43 Made 2017119.175925__tet43 into gene. strand=+, frame=0
2017119.175931__cmlA1 Made 2017119.175931__cmlA1 into gene. strand=+, frame=0
2017119.175936__cmlA6 Made 2017119.175936__cmlA6 into gene. strand=+, frame=0
2017119.175941__cmlA4 Made 2017119.175941__cmlA4 into gene. strand=+, frame=0
2017119.175945__cmlA5 Made 2017119.175945__cmlA5 into gene. strand=+, frame=0
2017119.17594__CARB_14 Made 2017119.17594__CARB_14 into gene. strand=+, frame=0
2017119.17595__catI Made 2017119.17595__catI into gene. strand=+, frame=0
2017119.17599__AER_14 Made 2017119.17599__AER_14 into gene. strand=+, frame=0
2017119.18115__strB Made 2017119.18115__strB into gene. strand=+, frame=0
2017119.18129__floR Made 2017119.18129__floR into gene. strand=+, frame=0
2017119.1812__CTX_M_152 Made 2017119.1812__CTX_M_152 into gene. strand=+, frame=0
2017119.18135__floR Made 2017119.18135__floR into gene. strand=+, frame=0
2017119.18139__floR Made 2017119.18139__floR into gene. strand=+, frame=0
2017119.18144__floR Made 2017119.18144__floR into gene. strand=+, frame=0
2017119.18152__catB8 Made 2017119.18152__catB8 into gene. strand=+, frame=0
2017119.18211__ACT_4 Made 2017119.18211__ACT_4 into gene. strand=+, frame=0
2017119.18218__cmlB1 Made 2017119.18218__cmlB1 into gene. strand=+, frame=0
2017119.18223__tetE Made 2017119.18223__tetE into gene. strand=+, frame=0
2017119.18229__cmrA Made 2017119.18229__cmrA into gene. strand=+, frame=0
2017119.18351__aac_6PRIME__IbPRIME Made 2017119.18351__aac_6PRIME__IbPRIME into gene. strand=+, frame=0
2017119.18731__TEM_1 Made 2017119.18731__TEM_1 into gene. strand=+, frame=0
2017119.18737__fusB Made 2017119.18737__fusB into gene. strand=+, frame=0
201712.1038__mcr_5 Made 201712.1038__mcr_5 into gene. strand=+, frame=0
201712.201011__SHV_5 Made 201712.201011__SHV_5 into gene. strand=+, frame=0
201712.201015__TEM_144 Made 201712.201015__TEM_144 into gene. strand=+, frame=0
201712.201019__SHV_11 Made 201712.201019__SHV_11 into gene. strand=+, frame=0
201712.201023__ACT_14 Made 201712.201023__ACT_14 into gene. strand=+, frame=0
201712.201027__CTX_M_1 Made 201712.201027__CTX_M_1 into gene. strand=+, frame=0
201712.201032__IMI_3 Made 201712.201032__IMI_3 into gene. strand=+, frame=0
201712.20103__SHV_96 Made 201712.20103__SHV_96 into gene. strand=+, frame=0
201712.201044__VIM_30 Made 201712.201044__VIM_30 into gene. strand=+, frame=0
201712.201048__OKP_A_16 Made 201712.201048__OKP_A_16 into gene. strand=+, frame=0
201712.20104__SHV_2 Made 201712.20104__SHV_2 into gene. strand=+, frame=0
201712.201052__QnrB48 Made 201712.201052__QnrB48 into gene. strand=+, frame=0
201712.201057__tet_Y_ Made 201712.201057__tet_Y_ into gene. strand=+, frame=0
201712.20107__CTX_M_25 Made 201712.20107__CTX_M_25 into gene. strand=+, frame=0
201712.201113__MIR_3 Made 201712.201113__MIR_3 into gene. strand=+, frame=0
201712.201117__QnrB2 Made 201712.201117__QnrB2 into gene. strand=+, frame=0
201712.20111__nimD Made 201712.20111__nimD into gene. strand=+, frame=0
201712.201121__SHV_1 Made 201712.201121__SHV_1 into gene. strand=+, frame=0
201712.201125__TEM_158 Made 201712.201125__TEM_158 into gene. strand=+, frame=0
201712.201134__SHV_133 Made 201712.201134__SHV_133 into gene. strand=+, frame=0
201712.201138__tet_A_ Made 201712.201138__tet_A_ into gene. strand=+, frame=0
201712.20113__TEM_155 Made 201712.20113__TEM_155 into gene. strand=+, frame=0
201712.201142__TEM_92 Made 201712.201142__TEM_92 into gene. strand=+, frame=0
201712.201146__tet_A_ Made 201712.201146__tet_A_ into gene. strand=+, frame=0
201712.201155__catB8 Made 201712.201155__catB8 into gene. strand=+, frame=0
