VFG0-	VFG012832__ipaH1.4	VFG012833__ipaH1.4	VFG012834__ipaH1.4	VFG012835__ipaH1.4	VFG012836__ipaH1.4	VFG012838__ipaH2.5	VFG012839__ipaH2.5	VFG020143__ipaH1.4
VFG0-_1	VFG012840__ipaH4.5	VFG012841__ipaH4.5	VFG012842__ipaH4.5	VFG012843__ipaH4.5	VFG012844__ipaH4.5	VFG020144__ipaH4.5
VFG0-_2	VFG002041__ipaH7.8	VFG012845__ipaH7.8	VFG012847__ipaH7.8	VFG012848__ipaH7.8	VFG012849__ipaH7.8	VFG020145__ipaH7.8
VFG0-_3	VFG002042__ipaH9.8	VFG012850__ipaH9.8	VFG012852__ipaH9.8	VFG012853__ipaH9.8	VFG012854__ipaH9.8	VFG020146__ipaH9.8
VFG012837__ipaH2	VFG012837__ipaH2.5
cluster_1017	VFG000516__ssaO	VFG003923__ssaO	VFG003925__ssaO	VFG003926__ssaO	VFG018449__ssaO	VFG020869__ssaO	VFG020870__ssaO	VFG020871__ssaO	VFG020875__ssaO
cluster_1018	VFG013655__pilM
cluster_1019	VFG041108__sciR
cluster_102	VFG043685__clbJ
cluster_1020	VFG042093__orgB
cluster_1021	VFG042226__ABB77404
cluster_1022	VFG042897__cfcC
cluster_1023	VFG000816__escI	VFG033562__rorf8	VFG033564__ECO55CA74_21240	VFG033568__rorf8	VFG033569__rorf8
cluster_1024	VFG043675__cnf2
cluster_1025	VFG033567__ECO103_3622
cluster_1026	VFG035312__c3402	VFG035313__ECP_2822	VFG035314__APECO1_3695	VFG035316__ECO103_3374	VFG035321__ECNA114_2872
cluster_1027	VFG042453__hdaB
cluster_1028	VFG000416__sycH
cluster_1029	VFG035737__aec19	VFG035738__aec19	VFG035751__aec19	VFG035755__aec19
cluster_103	VFG044471__chyP
cluster_1030	VFG043228__flgC
cluster_1031	VFG002355__flhE	VFG023688__flhE
cluster_1032	VFG002684__flhE	VFG003442__flhE	VFG017339__flhE
cluster_1033	VFG000459__csgC	VFG004113__csgC	VFG004114__csgC	VFG018365__csgC	VFG021264__csgC	VFG021271__csgC
cluster_1034	VFG035369__aaiD	VFG035372__aaiD	VFG035373__aaiD
cluster_1035	VFG043676__cnf3
cluster_1036	VFG040963__pulG
cluster_1037	VFG042547__fanG
cluster_1038	VFG043019__flgN
cluster_1039	VFG042228__ABB77406
cluster_104	VFG043691__clbD
cluster_1040	VFG042256__wtsF
cluster_1041	VFG042444__afaD_VIII
cluster_1042	VFG042883__pilM
cluster_1043	VFG000461__csgF	VFG004116__csgF	VFG004139__csgF	VFG018373__csgF	VFG018374__csgF	VFG021219__csgF	VFG021220__csgF	VFG021223__csgF	VFG021226__csgF
cluster_1044	VFG000503__sseE	VFG003868__sseE	VFG003870__sseE	VFG003871__sseE	VFG018470__sseE	VFG020770__sseE	VFG020771__sseE	VFG020774__sseE
cluster_1045	VFG002336__fliN	VFG023651__fliN
cluster_1046	VFG043686__clbI
cluster_1047	VFG002665__fliN	VFG003156__fliN	VFG003290__fliN	VFG003423__fliN	VFG017320__fliN	VFG018989__fliN	VFG023652__fliN
cluster_1048	VFG000810__escP	VFG012379__ECs4566	VFG033520__E2348C_3946	VFG033525__ECO111_3750
cluster_1049	VFG018469__sseE
cluster_105	VFG000414__yopJ_yopP	VFG003085__yopJ_yopP	VFG003494__yopJ_yopP	VFG023769__yopJ_yopP
cluster_1050	VFG033524__ECO103_3616
cluster_1051	VFG041111__sciU
cluster_1052	VFG041548__ROD_29911
cluster_1053	VFG042250__hrpG
cluster_1054	VFG042438__afaG_VII
cluster_1055	VFG042726__csgF	VFG045789__csgF	VFG046069__csgF
cluster_1056	VFG043022__flgB
cluster_1057	VFG012454__cah	VFG012455__cah	VFG036018__cah	VFG036022__cah	VFG036025__cah	VFG036026__cah	VFG036027__AG43	VFG045826__EC958_5138
cluster_1058	VFG043072__flgN
cluster_1059	VFG043074__flgB
cluster_106	VFG002368__wbcG
cluster_1060	VFG000401__yscB	VFG003338__yscB	VFG003478__yscB	VFG023739__yscB
cluster_1061	VFG000821__glrA	VFG033604__grlA	VFG033609__glrA	VFG033610__glrA	VFG033611__glrA	VFG041536__grlA
cluster_1062	VFG002351__flgB	VFG023680__flgB
cluster_1063	VFG002680__flgB	VFG003438__flgB	VFG017335__flgB
cluster_1064	VFG002655__fliT	VFG002774__fliT	VFG003280__fliT	VFG003414__fliT	VFG017310__fliT	VFG018850__fliT	VFG018979__fliT
cluster_1065	VFG020326__pltB	VFG020328__pltB
cluster_1066	VFG035328__EC55989_3318
cluster_1067	VFG035735__aec19	VFG035740__aec19	VFG035741__aec19	VFG035745__aec19	VFG035747__aec19	VFG046093__ECVR50_0249
cluster_1068	VFG036004__ehaB
cluster_1069	VFG042761__lngC
cluster_107	VFG012801__ospB	VFG012802__ospB	VFG012804__ospB
cluster_1070	VFG042775__cofC
cluster_1071	VFG043064__fliN
cluster_1072	VFG043115__fliN
cluster_1073	VFG043218__fliN
cluster_1074	VFG042516__fotE
cluster_1075	VFG043104__fliS
cluster_1076	VFG000556__invB	VFG003748__invB	VFG003749__invB	VFG018516__invB	VFG018517__invB	VFG020548__invB	VFG020549__invB	VFG020551__invB
cluster_1077	VFG000797__cesD2	VFG033439__cesD2	VFG033445__cesD2	VFG033446__cesD2	VFG041561__cesD2
cluster_1078	VFG001001__mxiL	VFG012663__mxiL	VFG012665__mxiL
cluster_1079	VFG000840__hlyA	VFG033887__hlyA	VFG033890__hlyA	VFG033891__hlyA
cluster_108	VFG043039__cheR
cluster_1080	VFG003524__ysaK
cluster_1081	VFG041002__aaiV
cluster_1082	VFG043053__fliS
cluster_1083	VFG002350__flgC	VFG023678__flgC
cluster_1084	VFG002679__flgC	VFG020243__flgC
cluster_1085	VFG041175__SG1047
cluster_1086	VFG042490__cswE
cluster_1087	VFG043023__flgC
cluster_1088	VFG043075__flgC
cluster_1089	VFG000494__spiC_ssaB	VFG003958__spiC_ssaB	VFG003960__spiC_ssaB	VFG003961__spiC_ssaB	VFG018434__spiC_ssaB	VFG018435__spiC_ssaB	VFG020929__spiC_ssaB	VFG020930__spiC_ssaB
cluster_109	VFG043245__motA
cluster_1090	VFG035992__ehaB	VFG036008__ehaB	VFG045825__upaC
cluster_1091	VFG000750__bfpG
cluster_1092	VFG001007__spa15	VFG012687__spa15	VFG012690__spa15	VFG020110__spa15
cluster_1093	VFG001760__YPO0268	VFG003371__YPTB0324	VFG017297__YpsIP31758_3817	VFG018838__YpAngola_A3932	VFG018966__YPK_3905	VFG020206__YPTS_0348
cluster_1094	VFG003571__yst1S
cluster_1095	VFG040943__etpO
cluster_1096	VFG040957__pulS
cluster_1097	VFG042094__iagB
cluster_1098	VFG042214__steB
cluster_1099	VFG000376__sycT
cluster_11	VFG017852__pilU
cluster_110	VFG041195__cts1F
cluster_1100	VFG002325__fliS	VFG023630__fliS
cluster_1101	VFG035996__ehaB
cluster_1102	VFG002654__fliS	VFG003413__fliS	VFG023631__fliS
cluster_1103	VFG001761__YPO0268a	VFG002732__y0528	VFG003372__YPTB0325
cluster_1104	VFG023598__YE105_C0335
cluster_1105	VFG042543__fasE
cluster_1106	VFG000398__virG_yscW	VFG003475__virG_yscW	VFG023735__virG_yscW
cluster_1107	VFG000460__csgE	VFG021229__csgE	VFG021230__csgE	VFG021232__csgE	VFG021233__csgE	VFG021235__csgE
cluster_1108	VFG000372__sycE_yerA
cluster_1109	VFG000541__sicP	VFG003686__sicP	VFG003688__sicP	VFG003689__sicP	VFG020439__sicP	VFG020440__sicP	VFG020442__sicP	VFG020446__sicP
cluster_111	VFG042573__ldaE
cluster_1110	VFG018540__sicP
cluster_1111	VFG043033__flhE
cluster_1112	VFG004438__shdA	VFG021106__shdA
cluster_1113	VFG004341__stgC
cluster_1114	VFG036042__tibA
cluster_1115	VFG043085__flhE
cluster_1116	VFG000764__perB_bfpV
cluster_1117	VFG000832__ler	VFG033702__ler	VFG033705__ler	VFG033708__ler	VFG033709__ler
cluster_1118	VFG000990__ipgA	VFG020120__ipgA
cluster_1119	VFG041527__ler
cluster_112	VFG042904__cfcJ
cluster_1120	VFG042727__csgE	VFG045790__csgE	VFG046070__csgE
cluster_1121	VFG043037__cheY
cluster_1122	VFG043089__cheY
cluster_1123	VFG043206__cheY
cluster_1124	VFG000807__cesF
cluster_1125	VFG002716__inv	VFG002850__inv	VFG003356__inv	VFG017280__inv	VFG018946__inv	VFG020188__inv
cluster_1126	VFG018448__ssaO
cluster_1127	VFG041102__STM0278
cluster_1128	VFG042441__afaA_VIII
cluster_1129	VFG041219__ctsD
cluster_113	VFG012856__ipaH
cluster_1130	VFG042754__lngX1
cluster_1131	VFG043221__fliE
cluster_1132	VFG043241__fliS
cluster_1133	VFG000811__escO	VFG033527__E2348C_3947	VFG033530__ECH74115_5061	VFG033533__ECO103_3617	VFG033534__ECO111_3751	VFG033535__ECO26_5272
cluster_1134	VFG041546__ROD_29921
cluster_1135	VFG000517__ssaP	VFG003928__ssaP	VFG003930__ssaP	VFG003931__ssaP	VFG020878__ssaP	VFG020879__ssaP	VFG020880__ssaP	VFG020881__ssaP	VFG020882__ssaP	VFG020883__ssaP	VFG020884__ssaP
cluster_1136	VFG035990__ehaB	VFG035991__ehaB	VFG035993__ehaB	VFG036009__ehaB
cluster_1137	VFG002038__eltB	VFG036068__lt_b__human	VFG036069__eltB
cluster_1138	VFG023596__YE105_C0334
cluster_1139	VFG043065__fliO
cluster_114	VFG043684__clbK
cluster_1140	VFG000387__sycN	VFG003324__sycN	VFG003464__sycN	VFG023715__sycN
cluster_1141	VFG000822__glrR	VFG033612__grlR	VFG033618__glrR	VFG033619__glrR	VFG033620__glrR
cluster_1142	VFG002052__gspI	VFG012906__gspI	VFG040950__gspI
cluster_1143	VFG002656__fliE	VFG002775__fliE	VFG003147__fliE	VFG003445__fliE	VFG017311__fliE
cluster_1144	VFG003535__YE3556
cluster_1145	VFG018446__ssaP
cluster_1146	VFG043652__AAA24094
cluster_1147	VFG035213__ECNA114_2861
cluster_1148	VFG000386__yscX	VFG003463__yscX	VFG018882__yscX	VFG023713__yscX
cluster_1149	VFG000513__ssaM	VFG003908__ssaM	VFG003910__ssaM	VFG003911__ssaM	VFG020842__ssaM	VFG020843__ssaM	VFG020844__ssaM	VFG020845__ssaM	VFG020848__ssaM
cluster_115	VFG034597__faeE	VFG042495__cshC	VFG042553__faeE	VFG043643__clpE
cluster_1150	VFG041543__escI
cluster_1151	VFG043054__fliT
cluster_1152	VFG040937__etpI
cluster_1153	VFG040965__pulI
cluster_1154	VFG041084__YPO0511a
cluster_1155	VFG042245__hrpB
cluster_1156	VFG043105__fliT
cluster_1157	VFG043116__fliO
cluster_1158	VFG036002__ehaB
cluster_1159	VFG000669__gtrA	VFG012936__gtrA
cluster_116	VFG043091__cheR
cluster_1160	VFG000735__cesF	VFG033502__cesF	VFG033509__cesF
cluster_1161	VFG000993__ipgE	VFG012731__ipgE
cluster_1162	VFG002326__fliT	VFG023632__fliT
cluster_1163	VFG003565__yst1I
cluster_1164	VFG041552__cesF
cluster_1165	VFG002359__flhD	VFG003452__flhD	VFG023696__flhD
cluster_1166	VFG033508__cesF	VFG033510__cesF
cluster_1167	VFG042571__ldaC
cluster_1168	VFG043098__flhD
cluster_1169	VFG036001__ehaB	VFG036003__ehaB
cluster_117	VFG000933__entB	VFG012979__entB	VFG012980__entB	VFG012981__entB	VFG012982__entB	VFG012983__entB	VFG012984__entB	VFG020170__entB
cluster_1170	VFG042253__hrpV
cluster_1171	VFG000476__grvA
cluster_1172	VFG000814__cesL	VFG033554__mpc	VFG033555__G2583_4425	VFG033559__mpc	VFG033560__mpc	VFG033561__mpc	VFG041541__mpc
cluster_1173	VFG023613__yst1G
cluster_1174	VFG041089__YPO0516
cluster_1175	VFG000865__aap_aspU
cluster_1176	VFG001009__spa13	VFG012695__spa13	VFG012697__spa13	VFG020112__spa13
cluster_1177	VFG043046__flhD
cluster_1178	VFG000406__yscG	VFG003207__yscG	VFG003343__yscG	VFG003483__yscG	VFG023747__yscG
cluster_1179	VFG000408__lcrO_yscI	VFG003485__lcrO_yscI	VFG023751__lcrO_yscI
cluster_118	VFG002701__prt	VFG003129__prt	VFG003395__prt
cluster_1180	VFG035997__ehaB	VFG036000__ehaB
cluster_1181	VFG000412__lcrQ_yscM	VFG003489__lcrQ_yscM	VFG023759__lcrQ_yscM
cluster_1182	VFG018479__sseA
cluster_1183	VFG000385__yscY	VFG003462__yscY	VFG023711__yscY
cluster_1184	VFG041571__nleK
cluster_1185	VFG041537__grlR
cluster_1186	VFG041725__synP
cluster_1187	VFG042080__eivI
cluster_1188	VFG042089__eprJ
cluster_1189	VFG042731__csgC	VFG045794__csgC	VFG046074__csgC
cluster_119	VFG012581__sitC	VFG012582__sitC	VFG012585__sitC	VFG013051__sitC	VFG013052__sitC	VFG013054__sitC	VFG034220__sitC	VFG034224__sitC	VFG034227__sitC	VFG034228__sitC	VFG034232__sitC
cluster_1190	VFG012328__sfaB	VFG012329__sfaB	VFG042567__focB
cluster_1191	VFG035558__clpV	VFG035564__aec27_clpV	VFG035566__aec27_clpV	VFG035568__aec27_clpV	VFG035571__aec27_clpV	VFG035574__aec27_clpV	VFG035577__aec27_clpV	VFG035578__aec27_clpV	VFG046086__ECVR50_0242
cluster_1192	VFG000498__sseA	VFG003843__sseA	VFG003846__sseA	VFG020731__sseA
cluster_1193	VFG042578__ldaB
cluster_1194	VFG000830__cesAB	VFG033687__ECH74115_5078	VFG033690__ECO103_3636
cluster_1195	VFG041528__cesAB
cluster_1196	VFG042488__cswC
cluster_1197	VFG042629__mrpJ
cluster_1198	VFG002327__fliE	VFG023633__fliE
cluster_1199	VFG000881__papB	VFG012256__papB	VFG012257__papB	VFG012258__papB	VFG033149__papB	VFG033150__papB
cluster_12	VFG018493__sopD
cluster_120	VFG012586__sitD	VFG012587__sitD	VFG012590__sitD	VFG013057__sitD	VFG013058__sitD	VFG013060__sitD	VFG013061__sitD	VFG013062__sitD	VFG034233__sitD	VFG034234__sitD	VFG034237__sitD	VFG034238__sitD	VFG034245__sitD
cluster_1200	VFG035414__aaiM	VFG035417__aaiM
cluster_1201	VFG043055__fliE
cluster_1202	VFG002304__misL	VFG004432__misL	VFG004433__misL	VFG018394__misL	VFG021095__misL	VFG021096__misL	VFG021097__misL	VFG021099__misL	VFG021100__misL
cluster_1203	VFG043106__fliE
cluster_1204	VFG003530__YE3551
cluster_1205	VFG035340__O3M_04345	VFG035343__EC042_4549
cluster_1206	VFG000534__prgJ	VFG003656__prgJ	VFG018552__prgJ	VFG020385__prgJ	VFG020386__prgJ	VFG020388__prgJ	VFG020392__prgJ
cluster_1207	VFG000942__draA	VFG042423__afaA	VFG042448__daaA	VFG046078__ECVR50_3238
cluster_1208	VFG012262__papI
cluster_1209	VFG035394__aaiI	VFG035398__aaiI
cluster_121	VFG002669__fliR	VFG002924__fliR	VFG003427__fliR	VFG017324__fliR
cluster_1210	VFG042615__PMI0532
cluster_1211	VFG042755__lngR
cluster_1212	VFG000436__pefB	VFG004413__pefB
cluster_1213	VFG035569__aec27_clpV	VFG035570__aec27_clpV
cluster_1214	VFG002682__flgM	VFG019006__flgM
cluster_1215	VFG003531__ysaI
cluster_1216	VFG033771__sepZ
cluster_1217	VFG041542__sepZ_espZ
cluster_1218	VFG042770__cofR
cluster_1219	VFG000815__sepZ_espZ
cluster_122	VFG018414__sopD2
cluster_1220	VFG017869__YpsIP31758_B0107
cluster_1221	VFG002353__flgM	VFG023684__flgM
cluster_1222	VFG042532__clpB
cluster_1223	VFG000727__sepZ	VFG033764__espZ	VFG033769__sepZ	VFG033770__sepZ
cluster_1224	VFG004185__lpfC	VFG018348__lpfC
cluster_1225	VFG012456__cah	VFG012457__cah	VFG036012__cah	VFG036017__cah	VFG036019__cah	VFG036023__cah	VFG036024__cah	VFG045820__EC958_4121
cluster_1226	VFG041562__ROD_29711
cluster_1227	VFG000997__mxiI	VFG012647__mxiI	VFG020100__mxiI
cluster_1228	VFG001764__YPO0271	VFG002735__y0531
cluster_1229	VFG043020__flgM
cluster_123	VFG042769__lngP
cluster_1230	VFG043234__flgJ
cluster_1231	VFG000508__ssaH	VFG003883__ssaH	VFG003885__ssaH	VFG003886__ssaH	VFG020796__ssaH	VFG020797__ssaH	VFG020801__ssaH	VFG020803__ssaH
cluster_1232	VFG034810__espO1_2	VFG034813__espO1_2	VFG034814__espO1_2
cluster_1233	VFG035872__aec11
cluster_1234	VFG000382__lcrG	VFG003319__lcrG	VFG003459__lcrG	VFG018878__lcrG	VFG023706__lcrG
cluster_1235	VFG000880__papI	VFG000891__papI	VFG012261__papI	VFG012326__sfaC	VFG012327__sfaC	VFG033153__papI	VFG033154__papI	VFG033155__papI	VFG033156__papI	VFG033158__papI	VFG033159__papI	VFG033160__papI	VFG033377__sfaC	VFG042566__focI_2
cluster_1236	VFG033063__eae
cluster_1237	VFG000388__tyeA	VFG023717__tyeA
cluster_1238	VFG000795__escG	VFG033422__E2348C_3931	VFG033428__ECO111_3735
cluster_1239	VFG033427__ECO103_3601
cluster_124	VFG042771__cofS
cluster_1240	VFG034804__espO1_1
cluster_1241	VFG041521__espO
cluster_1242	VFG023584__YE105_C0325
cluster_1243	VFG034803__espO1_1
cluster_1244	VFG034807__espO1_1
cluster_1245	VFG042650__pixB
cluster_1246	VFG000826__escS	VFG033649__escS	VFG033651__escS	VFG033654__escS	VFG033655__escS
cluster_1247	VFG000739__eae	VFG033057__eae
cluster_1248	VFG035226__c3396	VFG035234__NRG857_13835
cluster_1249	VFG000765__perC_bfpW
cluster_125	VFG021103__shdA
cluster_1250	VFG000836__stx1B	VFG001829__stxB	VFG043752__stx1vB
cluster_1251	VFG000838__stx2B	VFG033867__stx2B	VFG043754__stx2B	VFG043756__stx2dB	VFG043762__slt_IIcB	VFG043764__CAA90631
cluster_1252	VFG002339__fliQ	VFG023657__fliQ
cluster_1253	VFG002668__fliQ	VFG003426__fliQ
cluster_1254	VFG003518__ysaS
cluster_1255	VFG023604__YE105_C0339
cluster_1256	VFG041531__escS
cluster_1257	VFG043067__fliQ
cluster_1258	VFG001747__YPO0256	VFG002718__y0513	VFG003092__baeS1	VFG003358__YPTB0311	VFG017284__YpsIP31758_3832	VFG018826__YpAngola_A3944	VFG018953__YPK_3918
cluster_1259	VFG043118__fliQ
cluster_126	VFG002367__wbcH
cluster_1260	VFG043216__fliQ
cluster_1261	VFG000395__yscS
cluster_1262	VFG000520__ssaS	VFG003943__ssaS	VFG003945__ssaS	VFG003946__ssaS	VFG018440__ssaS	VFG020905__ssaS	VFG020907__ssaS
cluster_1263	VFG000507__ssaG	VFG003881__ssaG	VFG018465__ssaG	VFG020788__ssaG	VFG020790__ssaG	VFG020794__ssaG
cluster_1264	VFG012822__ospE1	VFG012824__ospE1	VFG012825__ospE2	VFG012826__ospE2	VFG012827__ospE2	VFG020140__ospE1
cluster_1265	VFG035228__EC55989_3327
cluster_1266	VFG000405__yscF	VFG003482__yscF	VFG023746__yscF
cluster_1267	VFG000509__ssaI	VFG003888__ssaI	VFG003891__ssaI	VFG018462__ssaI	VFG020805__ssaI	VFG020806__ssaI	VFG020810__ssaI	VFG020812__ssaI
cluster_1268	VFG018481__ssaE
cluster_1269	VFG033065__eae
cluster_127	VFG017873__YpsIP31758_B0111
cluster_1270	VFG043758__stx2eB	VFG043760__stx2fB
cluster_1271	VFG000550__spaQ	VFG018528__spaQ	VFG020498__spaQ	VFG020500__spaQ
cluster_1272	VFG001013__spa9	VFG012711__spa9	VFG020116__spa9
cluster_1273	VFG035227__UTI89_C3202
cluster_1274	VFG040999__aaiS
cluster_1275	VFG042085__epaQ
cluster_1276	VFG042231__hrcS
cluster_1277	VFG042588__sfpF
cluster_1278	VFG002943__flhD
cluster_1279	VFG042429__afaF_III	VFG042447__daaF
cluster_128	VFG041727__yspM
cluster_1280	VFG018487__ssrA
cluster_1281	VFG000996__mxiH	VFG012643__mxiH	VFG012646__mxiH	VFG020099__mxiH
cluster_1282	VFG001754__YPO0262	VFG002725__y0520	VFG017291__YpsIP31758_3824
cluster_1283	VFG003510__acpY
cluster_1284	VFG000542__iacP	VFG003691__iacP	VFG003694__iacP	VFG018539__iacP	VFG020448__iacP	VFG020452__iacP	VFG020455__iacP
cluster_1285	VFG001753__YPO0261
cluster_1286	VFG018538__iacP
cluster_1287	VFG023585__YE105_C0326
cluster_1288	VFG043690__clbE
cluster_1289	VFG044241__hemP
cluster_129	VFG033772__cif	VFG042218__cif
cluster_1290	VFG000497__ssaE	VFG003838__ssaE	VFG003840__ssaE	VFG003841__ssaE	VFG018482__ssaE	VFG020722__ssaE	VFG020724__ssaE	VFG020725__ssaE
cluster_1291	VFG000803__eae	VFG033058__eae	VFG033064__eae
cluster_1292	VFG000535__prgI	VFG003661__prgI	VFG003663__prgI	VFG018550__prgI	VFG018551__prgI	VFG020395__prgI
cluster_1293	VFG042090__eprI
cluster_1294	VFG021374__safA
cluster_1295	VFG042079__ECs3728
cluster_1296	VFG042244__hrpA
cluster_1297	VFG018463__ssaH
cluster_1298	VFG041049__Z0263
cluster_1299	VFG042249__hrpF
cluster_13	VFG043032__flgL
cluster_130	VFG042608__bcfH
cluster_1300	VFG000796__escF	VFG033436__escF	VFG033437__escF
cluster_1301	VFG001750__YPO0259	VFG003361__YPTB0314	VFG017287__YpsIP31758_3828	VFG018956__YPK_3915
cluster_1302	VFG017884__YpsIP31758_B0122
cluster_1303	VFG018461__ssaI
cluster_1304	VFG041560__escF
cluster_1305	VFG042758__lngX2
cluster_1306	VFG000831__escE	VFG012419__ECs4587	VFG033693__E2348C_3967	VFG033699__ECO103_3637	VFG033700__ECO111_3771
cluster_1307	VFG002039__estIa
cluster_1308	VFG001752__YPO0260a	VFG002723__y0518	VFG003363__YPTB0316
cluster_1309	VFG041526__escE
cluster_131	VFG042905__cfcP
cluster_1310	VFG043747__AAA23990
cluster_1311	VFG002155__ystA
cluster_1312	VFG002156__ystB
cluster_1313	VFG035269__c3400	VFG035270__ECP_2819	VFG035271__APECO1_3698	VFG035272__ECO103_3371	VFG035275__ECABU_c31030	VFG035276__i02_3121	VFG035277__ECNA114_2870	VFG035283__ECP_2820	VFG035284__APECO1_3697	VFG035285__ECO103_3372	VFG035288__ECABU_c31040	VFG035289__i02_3122	VFG035290__ECNA114_28701	VFG035291__ECS88_3103	VFG035292__ECOK1_3211	VFG035294__LF82_443	VFG045814__EC958_5040
cluster_1314	VFG023580__YE105_C0314
cluster_1315	VFG023583__YE105_C0324
cluster_1316	VFG043694__clbR
cluster_1317	VFG000404__yscE	VFG003481__yscE	VFG023745__yscE
cluster_1318	VFG042252__hrpT
cluster_1319	VFG042440__afaF_VII
cluster_132	VFG018504__sptP
cluster_1320	VFG000636__set1B	VFG000860__set1B
cluster_1321	VFG034837__espV
cluster_1322	VFG033173__fimB
cluster_1323	VFG042074__pkgA
cluster_1324	VFG033845__agn43
cluster_1325	VFG000946__draP	VFG046050__EC958_4098
cluster_1326	VFG017871__YpsIP31758_B0109
cluster_1327	VFG018947__inv
cluster_1328	VFG012862__ipaH
cluster_1329	VFG041050__Z0265
cluster_133	VFG040959__pulC
cluster_1330	VFG043621__KPK_0819
cluster_1331	VFG000863__astA	VFG045328__east1
cluster_1332	VFG000400__yscA	VFG003337__yscA	VFG003477__yscA
cluster_1333	VFG002758__y1073
cluster_1334	VFG021384__safC
cluster_1335	VFG035563__aec27_clpV
cluster_1336	VFG023574__YE105_C0310
cluster_1337	VFG000493__ssrA	VFG003823__ssrA	VFG003824__ssrA	VFG003825__ssrA	VFG003826__ssrA	VFG018488__ssrA	VFG020693__ssrA	VFG020694__ssrA	VFG020695__ssrA	VFG020696__ssrA	VFG020697__ssrA	VFG020698__ssrA	VFG020699__ssrA	VFG020700__ssrA
cluster_1338	VFG035560__aec27_clpV	VFG035561__aec27_clpV	VFG035579__aec27_clpV	VFG035582__aec27_clpV	VFG035583__aec27_clpV
cluster_1339	VFG000876__fimD	VFG012298__fimD	VFG012299__fimD	VFG012300__fimD	VFG012302__fimD	VFG012303__fimD	VFG033271__fimD	VFG033272__fimD	VFG033273__fimD	VFG033277__fimD	VFG033278__fimD	VFG033279__fimD	VFG033285__fimD	VFG033288__fimD	VFG033289__fimD	VFG033290__fimD	VFG033291__fimD	VFG033292__fimD	VFG033294__fimD	VFG033296__fimD	VFG045778__fimD	VFG046058__fimD
cluster_134	VFG042332__PMI2122
cluster_1340	VFG035575__aec27_clpV
cluster_1341	VFG000574__mgtB	VFG004039__mgtB	VFG004041__mgtB	VFG004042__mgtB	VFG018403__mgtB	VFG021052__mgtB	VFG021053__mgtB	VFG021054__mgtB	VFG021055__mgtB	VFG021056__mgtB	VFG021057__mgtB	VFG021058__mgtB	VFG021059__mgtB
cluster_1342	VFG018402__mgtB
cluster_1343	VFG021094__misL
cluster_1344	VFG034627__cfaC	VFG034628__cfaC	VFG034629__cfaC	VFG034630__cfaC	VFG034631__cfaC	VFG034635__cfaC	VFG034636__cfaC	VFG034638__cfaC
cluster_1345	VFG004267__stcC	VFG021473__stcC
cluster_1346	VFG041205__cts1V
cluster_1347	VFG004299__steB	VFG004300__steB	VFG004301__steB	VFG004302__steB	VFG021516__steB	VFG021517__steB	VFG021518__steB	VFG021519__steB	VFG021520__steB	VFG021521__steB
cluster_1348	VFG044403__hasR
